Galaxy Name,Blue Peak,Blue Err,Red Peak,Red Err,Bimodal,Ref
NGC584,0.98,0.05,1.18,0.05,Likely,K99
NGC1023,0.92,0.05,1.17,0.05,Yes,LB00
NGC1380,0.86,0.1,1.1,0.1,Yes,KK97a
NGC1399,0.99,0.05,1.18,0.05,Yes,KR97
NGC1404,0.93,0.1,1.18,0.1,Yes,F98b
NGC1427,0.98,0.05,1.16,0.05,Yes,F00c
NGC1439,0.97,0.05,1.16,0.05,Likely,K99
NGC2768,0.92,0.05,1.12,0.05,Yes,K99
NGC3115,0.96,0.05,1.17,0.05,Yes,KW98
NGC3311,0.91,0.05,1.09,0.05,Yes,B00
NGC3377,0.96,0.05,1.13,0.05,Likely,K99
NGC3379,0.94,0.05,1.16,0.05,Likely,K99
NGC3923,1.04,0.1,1.24,0.1,Yes,Z95c
NGC4278,0.93,0.05,1.13,0.05,Likely,K99
NGC4406,0.98,0.05,1.17,0.05,Likely,K99
NGC4472,1,0.05,1.23,0.05,Yes,P99
NGC4473,0.93,0.05,1.15,0.05,Yes,K99
NGC4486,0.95,0.05,1.2,0.05,Yes,KW99
NGC4494,0.95,0.05,1.15,0.05,Yes,F96
NGC4526,0.85,0.05,1.15,0.05,Yes,GK99
NGC4552,0.96,0.05,1.18,0.05,Likely,K99
NGC4621,0.98,0.05,1.16,0.05,Yes,K99
NGC4649,0.95,0.05,1.2,0.05,Yes,K99
NGC4660,0.93,0.05,1.08,0.05,Likely,K99
NGC5846,0.96,0.05,1.17,0.05,Yes,F97
NGC5982,0.99,0.05,1.18,0.05,Likely,K99
IC1459,1,0.05,1.25,0.05,Yes,F96
IC4051,1,0.05,1.17,0.05,Likely,WH00
