Galaxy,Other_ID,RA_hr,DEC_deg,Type,D_Mpc,D_Mpc+-,Method,A_V,M_V^T,M_V^T+-,M_K,M_K+-,N(GC),N(GC)+-,Source,sig_e_km/s,sig_e_km/s+-,R_e_kpc,R_e_kpc+-,lg_M_d_M_sun,lg_M_d_M_sun+-,lg_M_G_M_sun,lg_M_G_M_sun+-,lg_M_B_M_sun,lg_M_B_M_sun+,lg_M_B_M_sun-,Galaxy Name,Blue Peak,Blue Err,Red Peak,Red Err,Bimodal,Ref
NGC584,nid,1.5224182,-6.8680509,E4,20.14,1.94,SBF,0.14,-21.18,0.34,-24.231,0.103,500,200.0,60,205.9,4.2,2.44,0.23,10.983,0.041,8.15,0.15,,,,NGC584,0.98,0.05,1.18,0.05,Likely,K99
NGC1023,nid,2.6733293,39.0632533,SB0,11.43,1.0,SBF,0.201,-21.14,0.2,-24.074,0.102,490,30.0,100a,209.0,10.0,2.19,0.15,10.95,0.04,8.14,0.03,7.64,0.04,0.04,NGC1023,0.92,0.05,1.17,0.05,Yes,LB00
NGC1380,FCC-167,3.6076629,-34.9761257,S0-a,18.86,1.85,SBF,0.058,-21.51,0.24,-24.515,0.102,424,100.0,55/58,218.5,4.8,3.39,0.33,11.178,0.042,8.1,0.09,,,,NGC1380,0.86,0.1,1.1,0.1,Yes,KK97a
NGC1399,FCC-213,3.641408,-35.4506257,E1,20.68,0.5,SBF,0.043,-22.03,0.2,-25.276,0.104,6000,700.0,Mar-93,337.0,16.0,9.7,0.23,12.011,0.03,9.28,0.05,8.69,0.06,0.07,NGC1399,0.99,0.05,1.18,0.05,Yes,KR97
NGC1404,FCC-219,3.6477546,-35.5942446,E1,20.43,0.4,SBF,0.038,-21.59,0.2,-24.735,0.102,770,140.0,29/41/87,234.4,4.2,2.78,0.05,11.153,0.014,8.36,0.07,,,,NGC1404,0.93,0.1,1.18,0.1,Yes,F98b
NGC1427,FCC-276,3.7053874,-35.3927754,E,20.52,2.0,SBF,0.037,-20.74,0.24,-23.426,0.102,500,60.0,34/60,162.1,3.5,2.98,0.3,10.862,0.043,8.12,0.05,,,,NGC1427,0.98,0.05,1.16,0.05,Yes,F00c
NGC1439,nid,3.7472206,-21.9207205,E1,26.67,1.91,SBF,0.099,-20.84,0.2,-23.57,0.104,260,30.0,18/60,150.2,5.4,4.46,0.32,10.972,0.037,7.84,0.05,,,,NGC1439,0.97,0.05,1.16,0.05,Likely,K99
NGC2768,nid,9.1937446,60.0372538,E,22.39,2.62,SBF,0.147,-22.03,0.36,-24.769,0.105,720,240.0,61,181.1,3.7,6.8,0.8,11.317,0.05,8.36,0.12,,,,NGC2768,0.92,0.05,1.12,0.05,Yes,K99
NGC3115,nid,10.0872139,-7.7185556,S0,10.0,0.5,SBF/PNLF,0.157,-21.19,0.2,-24.134,0.101,550,80.0,26,230.0,11.0,1.51,0.06,10.871,0.033,8.19,0.06,8.96,0.19,0.15,NGC3115,0.96,0.05,1.17,0.05,Yes,KW98
NGC3311,nid,10.6118836,-27.5278788,E2,44.26,4.0,SBF,0.263,-21.84,0.2,-25.156,0.107,16500,2000.0,20,185.2,7.0,18.91,1.88,11.781,0.046,9.71,0.05,,,,NGC3311,0.91,0.05,1.09,0.05,Yes,B00
NGC3377,nid,10.7951044,13.9856408,E5,11.04,0.25,TRGB/SBF,0.113,-19.95,0.2,-22.786,0.104,191,15.0,18,145.0,7.0,1.84,0.04,10.557,0.03,7.66,0.03,8.25,0.19,0.29,NGC3377,0.96,0.05,1.13,0.05,Likely,K99
NGC3379,M105,10.7971083,12.5816111,E1,10.2,0.5,TRGB,0.081,-20.9,0.2,-23.782,0.102,216,42.0,26/86,206.0,10.0,1.79,0.14,10.849,0.043,7.77,0.08,8.04,0.22,0.26,NGC3379,0.94,0.05,1.16,0.05,Likely,K99
NGC3923,nid,11.8504901,-28.8059748,E4,22.91,3.15,SBF,0.275,-22.28,0.54,-25.33,0.104,2800,300.0,26/92/101,256.6,6.3,6.51,0.89,11.601,0.058,8.96,0.04,,,,NGC3923,1.04,0.1,1.24,0.1,Yes,Z95c
NGC4278,nid,12.3352206,29.2806358,E,16.07,1.55,SBF,0.095,-20.97,0.34,-23.856,0.101,1100,300.0,46/60,237.2,5.2,2.68,0.26,11.147,0.042,8.48,0.1,0.0,8.23,0.0,NGC4278,0.93,0.05,1.13,0.05,Likely,K99
NGC4406,VCC-881/M86,12.4365983,12.9461081,E3,17.09,0.52,SBF,0.098,-22.36,0.2,-25.071,0.104,2800,200.0,77,234.8,3.1,12.69,0.39,11.814,0.015,8.97,0.03,,,,NGC4406,0.98,0.05,1.17,0.05,Likely,K99
NGC4472,VCC-1226/M49,12.4963306,8.0003889,E2,17.03,0.21,SBF,0.074,-22.82,0.2,-25.768,0.103,7000,800.0,77,293.8,2.9,12.65,0.16,12.007,0.008,9.39,0.05,9.26,0.12,0.18,NGC4472,1.0,0.05,1.23,0.05,Yes,P99
NGC4473,VCC-1231,12.4969066,13.4293972,E5,15.25,0.51,SBF,0.094,-20.81,0.2,-23.77,0.103,376,97.0,77,190.0,9.0,3.01,0.1,11.005,0.031,8.0,0.1,7.95,0.19,0.29,NGC4473,0.93,0.05,1.15,0.05,Yes,K99
NGC4486,VCC-1316/M87,12.5137243,12.391217,E0,17.0,0.3,SBF,0.074,-22.61,0.2,-25.348,0.102,13000,800.0,77,375.0,18.0,7.3,0.12,11.98,0.029,9.65,0.03,9.77,0.03,0.03,NGC4486,0.95,0.05,1.2,0.05,Yes,KW99
NGC4494,nid,12.5233526,25.7746797,E1,17.06,0.89,SBF,0.071,-21.4,0.2,-24.17,0.103,392,49.0,35,150.2,3.7,4.02,0.21,10.927,0.026,8.05,0.05,,,,NGC4494,0.95,0.05,1.15,0.05,Yes,F96
NGC4526,VCC-1535,12.5675099,7.6992057,S0,16.9,1.63,SBF,0.074,-21.51,0.22,-24.674,0.102,388,117.0,77,251.1,16.1,1.96,0.48,11.061,0.101,8.06,0.11,0.0,8.48,0.0,NGC4526,0.85,0.05,1.15,0.05,Yes,GK99
NGC4552,VCC-1632/M89,12.5944024,12.5561149,E,15.89,0.55,SBF,0.136,-20.39,0.2,-24.292,0.103,1100,200.0,77,252.5,3.3,3.7,0.13,11.342,0.017,8.44,0.07,8.68,0.04,0.05,NGC4552,0.96,0.05,1.18,0.05,Likely,K99
NGC4621,VCC-1903/M59,12.7006372,11.6473083,E5,14.85,0.5,SBF,0.11,-21.34,0.2,-24.125,0.103,803,355.0,77,225.1,3.2,4.57,0.15,11.333,0.016,8.36,0.16,8.6,0.06,0.07,NGC4621,0.98,0.05,1.16,0.05,Yes,K99
NGC4649,VCC-1978/M60,12.727789,11.5526723,E2,17.09,0.61,SBF,0.088,-22.41,0.2,-25.434,0.102,4000,500.0,77,385.0,19.0,7.12,0.25,11.992,0.033,9.13,0.05,9.63,0.09,0.11,NGC4649,0.95,0.05,1.2,0.05,Yes,K99
NGC4660,VCC-2000,12.7422139,11.1905278,E,14.97,0.48,SBF,0.109,-19.74,0.2,-22.682,0.101,205,28.0,77,188.5,3.4,1.07,0.03,10.548,0.017,7.68,0.06,,,,NGC4660,0.93,0.05,1.08,0.05,Likely,K99
IC4051,nid,13.015133,28.0074725,E,129.4,9.1,Hubble,0.03,-21.26,0.2,-25.15,0.105,6700,530.0,47,250.1,5.1,12.19,0.86,11.851,0.032,9.28,0.03,,,,IC4051,1.0,0.05,1.17,0.05,Likely,WH00
NGC5846,nid,15.1081241,1.6062912,E0,24.89,2.4,SBF,0.182,-22.12,0.25,-25.065,0.103,4670,1195.0,28,239.3,4.3,7.56,0.73,11.605,0.041,9.17,0.1,9.04,0.07,0.09,NGC5846,0.96,0.05,1.17,0.05,Yes,F97
NGC5982,nid,15.6443806,59.3558889,E3,41.47,2.7,SBF,0.059,-22.02,0.2,-24.944,0.101,1497,202.0,92,238.9,4.9,4.79,0.31,11.406,0.03,8.67,0.05,,,,NGC5982,0.99,0.05,1.18,0.05,Likely,K99
IC1459,nid,22.9529445,-36.4621765,E,29.24,4.02,SBF,0.043,-22.04,0.2,-25.53,0.103,2100,730.0,60,306.1,7.8,4.95,0.68,11.635,0.058,8.82,0.13,9.45,0.14,0.25,IC1459,1.0,0.05,1.25,0.05,Yes,F96
